"id","dateCreated","dateModified","createdBy","createdByName","modifiedBy","modifiedByName","c_position_name","c_hodUsername","c_jobLevel","c_username"
"43d747f0-ac112420-f09f8500-f5b7fbec","2019-09-18 17:07:25","2019-09-18 17:59:43",admin,Administrator ,requester,requester ,"เลขาผู้ช่วยกรรมการผู้จัดการใหญ่","somjai","L60","rattanawaleea"
"43d78635-ac112420-f09f8500-dae8d68f","2019-09-18 17:07:41","2019-09-18 17:59:35",admin,Administrator ,requester,requester ,"เลขารองกรรมการผู้จัดการใหญ่","sommai","L70","pratuengc"
"43d821bb-ac112420-f09f8500-55cd5e20","2019-09-18 17:08:20","2019-09-18 18:00:04",admin,Administrator ,requester,requester ,"เลขากรรมการผู้จัดการใหญ่","somsak","L80","kullapasc"
